	copy
550674	5
191043	3
194033	1
523934	1
4299396	4
302204	4
294545	4
293262	3
2201995	4
582691	10
290465	5
295144	4
198494	1
321693	1
336292	2
518460	3
2781880	4
302647	2
302641	4
184845	1
316734	4
365842	4
334839	4
1111216	3
331716	4
4305815	4
312156	3
1104908	2
1992	5
4398588	5
1099710	6
219151	5
182117	5
182116	1
203545	4
193915	3
179526	6
1061772	10
178928	1
4477017	1
197072	5
342504	4
291733	1
164744	3
4079463	6
299755	4
365717	4
567437	2
175642	1
288442	3
4385326	3
197112	6
197111	4
886735	4
316381	4
343719	4
186723	4
183532	3
183533	6
4296763	4
347628	1
164088	5
188348	2
192070	5
311718	4
196307	2
173969	6
311712	1
161109	4
194792	4
325848	1
325599	6
25947	5
515362	4
359020	1
196248	1
196249	3
3856408	1
196242	1
3856404	2
193364	1
196246	4
193367	1
194868	1
576232	3
525841	3
336501	6
546958	2
4479443	1
592913	3
269833	2
810425	5
181025	6
158576	3
4387092	7
356827	6
307462	4
4370491	4
312969	4
192093	1
554560	3
350503	4
341089	1
158415	4
3804335	2
192542	1
183886	1
330414	3
579541	2
178751	1
578147	5
54563	1
4347652	1
268730	4
3576174	10
550287	3
1084900	4
199283	6
345144	3
321598	3
619140	6
183829	5
1105328	3
4480861	3
298346	5
194264	3
194269	3
321774	6
195015	6
316267	2
157805	4
591583	4
191842	4
1776714	6
355905	1
191849	8
525215	4
176507	4
339685	6
365033	1
34413	6
529740	1
185235	6
194654	4
194659	4
360000	6
40798	3
312364	4
180615	1
4429553	5
26704	4
4429557	5
189820	1
589989	4
330458	1
590980	4
993934	4
2700883	4
318446	1
339531	4
229455	1
1602314	3
178485	3
307127	6
310633	3
151401	1
212481	3
192302	3
3190479	4
207252	4
324850	4
4453550	3
356011	2
318190	3
318194	4
4387246	3
312770	5
289658	3
524674	6
174901	3
170262	6
181560	6
839684	1
177062	1
337048	10
195651	6
369526	3
181702	4
186289	4
4295063	8
304108	1
276867	6
587933	3
366376	4
340631	2
193551	6
386273	3
191531	1
204126	4
3929758	5
321902	1
195221	3
187883	4
4359258	2
182542	1
173817	1
173810	2
173811	1
759816	5
4334479	3
97263	5
324244	4
4338745	5
4338748	4
362078	4
2134134	2
302629	4
353336	4
353330	4
346771	1
336277	3
333351	3
196957	4
349246	3
350979	5
184864	1
307903	1
4429963	2
190772	4
139321	6
346559	1
157122	4
134786	7
137209	3
317677	4
198210	1
178904	4
299770	4
112848	5
197099	4
199421	6
849393	6
197095	4
175336	4
175335	3
268506	5
1914875	3
365735	1
178018	1
288428	2
226693	2
233573	3
178012	1
178015	3
178016	1
4308160	1
787709	3
183556	1
225259	3
311484	3
591118	6
4477696	6
319455	4
2229500	6
352013	3
352010	6
352014	3
4474255	4
196322	3
525156	2
525401	1
174571	3
918242	2
73875	3
540862	4
262484	5
191716	3
4347829	5
177902	4
110144	3
16649	2
968954	5
233993	4
4478840	4
189548	1
318278	4
259677	2
331850	1
4366834	4
3449121	5
3449122	5
580305	4
593376	4
181047	3
158598	4
184678	4
1112121	2
320627	4
524444	1
289469	4
1136387	3
165257	5
297111	4
165924	4
165928	5
4326866	4
559527	3
196918	5
4326869	1
513440	3
1654477	7
320197	3
332317	5
539939	4
299187	4
175438	6
289074	1
191490	5
300136	1
2243510	5
421538	1
1868703	1
186133	1
186131	1
186130	6
2032544	1
194201	1
1105687	4
179260	3
175298	6
1135042	4
191829	5
290696	1
180801	3
174747	1
178242	4
289927	4
183604	1
4122608	4
833216	6
328993	3
194672	4
146935	4
194670	5
187668	4
305494	2
180941	3
4254313	7
158836	4
178299	3
147085	6
4128381	1
192857	3
786708	6
212359	4
356079	3
356073	3
319847	5
350091	3
177593	1
4072210	1
361375	3
232900	3
346302	6
197329	4
3700608	3
299407	4
197324	3
750071	5
327401	1
994357	8
364824	1
4336746	4
185034	3
188008	1
562244	4
300458	3
1034960	1
4474759	5
4404181	6
4404187	4
304123	2
262673	3
262677	4
359788	4
180905	1
162491	1
366352	2
177042	3
177040	1
177047	1
4332082	1
4375664	5
187623	5
193534	5
261891	1
191551	1
409686	1
297635	3
191555	6
194077	1
194079	1
2170526	1
358781	3
173744	5
4455005	8
539581	3
362501	6
302600	5
4423553	3
4352657	1
363454	4
190595	4
184805	4
538185	4
1952	5
342487	3
197521	3
1107945	5
4412541	3
158625	3
193950	4
176954	1
563803	1
163433	3
178387	4
533847	4
364227	3
536831	1
186090	1
179384	1
30569	3
529531	6
2018038	4
319400	4
549756	4
1919007	5
570049	6
659361	1
295094	4
156505	4
183579	5
290572	2
183576	1
183573	6
4419621	4
361507	5
525391	6
216111	4
195805	4
356445	2
195801	4
23652	1
511229	4
195808	3
3508701	4
175978	1
550807	4
4473227	3
1918929	1
174008	1
4407515	5
471159	7
815158	4
4371360	3
170652	10
360761	4
196200	1
224105	10
1047077	3
298942	1
184248	6
221429	5
335003	3
1082607	3
187051	3
189035	1
2430693	5
2318202	4
4483337	3
158027	4
189524	3
298468	3
4377709	3
190987	1
190980	3
354334	4
315223	2
334666	10
334661	3
834840	1
3275934	5
287608	1
69782	2
323778	1
4375127	3
269360	4
294440	4
332846	6
530379	4
327383	3
310071	1
192589	1
130103	1
181062	4
579851	3
345362	7
184175	1
91962	3
249142	1
124470	4
2963287	4
297792	4
185836	1
185834	1
190562	6
329761	4
300152	3
198754	3
248492	2
194225	3
191615	1
194223	1
591635	1
198530	5
195052	3
560465	7
509516	6
4294457	3
363029	1
295427	4
179715	1
196597	3
196590	3
4447219	3
368203	6
174763	1
180826	1
576914	2
1656581	4
176544	4
331014	4
4304843	2
183296	3
335256	5
187607	3
187604	1
174496	1
174499	3
50208	3
197757	4
189867	1
322552	1
291090	5
291094	4
724472	1
211706	5
313336	1
350300	3
142183	5
4417708	3
4142052	4
4418165	2
356052	5
353577	6
556240	3
355837	5
3964308	1
332732	5
174943	6
577406	1
3648884	3
4458227	3
524633	3
197343	3
197341	6
2265722	2
589329	4
4326091	1
176057	3
1113587	3
352192	4
183030	3
575756	3
110404	6
180215	1
684586	6
1743216	1
235127	3
337083	8
296010	1
195619	4
529873	1
581201	4
308419	4
4454068	7
213394	6
4450010	1
556936	2
4410166	4
819927	4
316925	4
97000	2
792868	3
161946	4
4460021	1
4383924	3
345846	1
292152	4
298178	4
4343184	1
325254	4
4427290	5
2250985	1
335816	4
231310	6
182506	1
2835813	2
307526	4
439880	4
362037	1
547913	6
192641	1
194036	3
327049	3
4414420	5
209327	4
851704	7
157162	4
197500	1
2654263	6
158649	3
197504	1
313521	4
4456576	1
346598	5
179018	3
185995	3
4448731	7
4447176	3
1139021	4
528421	6
291937	4
137399	3
360962	1
3692427	1
4390839	5
175376	1
4480923	3
146564	4
369090	1
4308127	2
369097	4
316496	4
652823	4
316321	5
1052181	4
178631	3
3412718	5
525378	1
814442	6
4397439	5
314433	3
195865	1
4453903	4
319411	3
862115	6
2986828	3
648559	4
179905	1
316144	3
368412	2
325539	4
194734	6
194735	4
194733	1
174532	1
4442459	5
3251419	4
526131	4
2979308	1
4371341	5
4331782	4
333886	4
194888	1
334215	4
187038	6
187035	1
149833	1
308081	2
341920	4
258099	5
322087	1
177368	3
320957	4
327672	4
4307383	3
4376828	3
843569	6
192079	2
720944	4
105099	4
332860	4
186851	2
320483	3
199286	4
183827	4
183824	1
183822	4
309284	4
309285	4
4396292	3
305460	1
988932	4
308889	6
4315474	1
649107	3
4437359	4
4295618	4
572743	4
215040	3
4433737	1
1504042	4
1866742	7
293307	1
329703	6
190502	1
196951	1
291982	4
205309	4
2387797	1
193709	3
320224	1
290300	4
850642	2
320221	2
162623	1
349123	4
193850	6
191633	1
347875	5
176705	5
176703	1
305288	2
294791	3
184925	3
1601633	1
3970651	5
1032415	2
176561	1
4300127	5
180842	1
4178726	1
180846	6
334049	4
184036	3
184030	6
1986406	2
302158	4
322571	4
808609	1
4380813	1
211720	1
209685	6
291211	4
353593	2
4402042	3
192228	1
175036	1
175037	4
4377703	4
72820	3
361845	1
834677	5
289636	4
299441	4
337538	1
188225	4
165046	4
197361	4
309745	4
4318177	3
526583	2
4405482	3
3462224	6
4478125	4
4356697	4
195635	1
792436	3
195639	3
4324489	1
241290	3
2676432	10
351457	4
527988	6
352243	3
177884	1
292820	5
129401	4
2066374	6
4111715	7
177081	6
196017	6
182483	3
195102	4
4399109	4
297677	3
292171	4
336375	1
231376	4
336372	4
348863	4
158270	2
